sys.exec.out.time {s},test.var_i {1},test.constraints.threshold_x4t.violation_count {--},test.constraints.threshold_x4t.violated {--},test.constraints.threshold_x4t.tests[0].violation {--},test.constraints.threshold_x4t.tests[1].violation {--},test.constraints.threshold_x4t.tests[2].violation {--},test.constraints.threshold_x4t.tests[3].violation {--},test.constraints.threshold_x4t.tests[0].violation_timer {s},test.constraints.threshold_x4t.tests[1].violation_timer {s},test.constraints.threshold_x4t.tests[2].violation_timer {s},test.constraints.threshold_x4t.tests[3].violation_timer {s},test.constraints.threshold_x4t.test_violated_time_limit {--},test.constraints.threshold_x4t.test_violated_index {--}
                 3.9,25,1,1,1,1,0,0,                   0,                   2,                   0,                   0,                 1.7,0
                   4,33,1,1,1,1,0,0,                   0,   2.100000000000001,                 0.1,                   0,                 1.7,0
                 4.1,33,1,1,1,1,0,0,                   0,   2.200000000000001,                 0.2,                   0,                 1.7,0
                 4.2,33,1,1,1,1,0,0,                   0,   2.300000000000001,                 0.3,                   0,                 1.7,0
                 4.3,33,1,1,1,1,0,0,                   0,   2.400000000000001,                 0.4,                   0,                 1.7,0
                 4.4,33,1,1,1,1,0,0,                   0,   2.500000000000001,                 0.5,                   0,                 1.7,0
                 4.5,33,1,1,1,1,0,0,                   0,   2.600000000000001,                 0.6,                   0,                 1.7,0
                 4.6,33,1,1,1,1,0,0,                   0,   2.700000000000001,                 0.7,                   0,                 1.7,0
                 4.7,33,1,1,1,1,1,0,                   0,   2.800000000000001,  0.7999999999999999,                   0,                 1.7,0
                 4.8,33,1,1,1,1,1,0,                   0,   2.900000000000001,  0.8999999999999999,                   0,                 1.7,0
                 4.9,33,1,1,1,1,1,0,                   0,   3.000000000000001,  0.9999999999999999,                   0,                 1.7,0
                   5,37,1,1,1,1,1,0,                   0,   3.100000000000001,                 1.1,                 0.1,                 1.7,0
                 5.1,37,1,1,1,1,1,0,                   0,   3.200000000000002,                 1.2,                 0.2,                 1.7,0
                 5.2,37,1,1,1,1,1,0,                   0,   3.300000000000002,                 1.3,                 0.3,                 1.7,0
                 5.3,37,1,1,1,1,1,0,                   0,   3.400000000000002,                 1.4,                 0.4,                 1.7,0
                 5.4,37,1,1,1,1,1,1,                   0,   3.500000000000002,                 1.5,                 0.5,                 1.7,0
                 5.5,37,1,1,1,1,1,1,                   0,   3.600000000000002,                 1.6,                 0.6,                 1.7,0
                 5.6,37,1,1,1,1,1,1,                   0,   3.700000000000002,                 1.7,                 0.7,                 1.7,0
                 5.7,37,1,1,1,1,1,1,                   0,   3.800000000000002,                 1.8,  0.7999999999999999,                 1.7,0
                 5.8,37,1,1,1,1,1,1,                   0,   3.900000000000002,   1.900000000000001,  0.8999999999999999,                 1.7,0
                 5.9,37,1,1,1,1,1,1,                   0,   4.000000000000002,                   2,  0.9999999999999999,                 1.7,0
                   6,5,1,0,0,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 6.1,5,1,0,0,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 6.2,5,1,0,0,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
                 6.3,5,1,0,0,0,0,0,                   0,                   0,                   0,                   0,                 1.7,0
